"Marina de Formentera (Formentera)",38.7334,1.41674,6
"Real Club Nautico de Palma (Palma de Mallorca)",39.5644,2.63399,5
"Club de Mar (Palma de Mallorca)",39.5559,2.62758,6
"Marina Port de Mallorca (Palma de Mallorca)",39.562,2.62992,5
"Sattahip (Sattahip)",12.6518,100.882,5
"Cala Nova (Palma de Mallorca)",39.549,2.59932,5
"Puerto Portals (Calvià)",39.5291,2.56561,5
"Club Nautico Palma Nova (Palmanova)",39.5242,2.54139,5
"Kuzu Limani (Bademli)",40.2338,25.9466,5
"Kabatepe Limani (Eceabat)",40.2026,26.2664,5
"Çanakkale (Çanakkale)",40.153,26.4049,5
"Gelibolu (Gelibolu)",40.4053,26.6706,5
"Karabiga (Biga)",40.4013,27.3074,5
"Grand Harbour Marina (Vittoriosa)",35.8875,14.5192,5
"Návpaktos (Náfpaktos)",38.3921,21.829,5
"Port Adriano (Calvià)",39.4905,2.47754,5
"Club Náutico Santa Ponsa (Santa Ponça)",39.5127,2.46537,5
"Ko Samet (Ban Ko Samet)",12.5751,101.464,5
"Club de Vela Puerto de Andratx (Andratx)",39.5453,2.38627,5
"Puerto de Sóller (Port de Sóller)",39.7972,2.69385,5
"ko Chang (Ban Ao Sapparot)",12.1426,102.281,7
"Nisís Trizónia (The yacht Club) (Trizonía)",38.3695,22.0759,5
"Ta' Xbiex (Valletta)",35.905,14.5163,6
"Puerto de Pollença (Pollença)",39.9033,3.08667,6
"Galaxidhi (Galaxídhion)",38.376,22.3876,5
"Reial Club Náutic Port de Pollença (Pollença)",39.9044,3.08456,5
"Manoel Island Marina (Marsamxett) (Vittoriosa)",35.9017,14.5017,6
"Erdek (Erdek)",40.3944,27.7892,5
"Marina de Bonaire Cocodrilo (Alcúdia)",39.8683,3.145,5
"Alcudiamar (Alcúdia)",39.8375,3.13527,5
"Port Marmara (Ayvalik)",40.5841,27.5611,5
"Msida Creek Marina (Msida)",35.8958,14.4925,5
"Saraylar (Ayvalik)",40.6546,27.6598,5
"Club Náutico Ca'n Picafort (Can Picafort)",39.7659,3.1599,5
"Club Náutico Serra Nova (Santa Margalida)",39.74,3.225,5
"Itea (Itéa)",38.4301,22.4222,5
"Club Náutico Colonia de Sant Pere (Artà)",39.7383,3.27667,5
"Porto Germeno (Aigósthena)",38.1563,23.2216,5
"Kato Alepochori (Káto Alepokhórion)",38.0896,23.1865,5
"Palavas les Flots (Palavas-les-Flots)",43.5235,3.93519,5
"Xilokastro (Xylókastron)",38.081,22.6245,5
"Mgarr Marina (Vittoriosa)",36.0255,14.3016,5
"Bandirma (Bandirma)",40.3541,27.9679,5
